,Open,High,Low,Close,Volume,compound,negative,neutral,positive
2004-11-01,0.9375,0.9510709999999999,0.9292860000000001,0.936607,602050400.0,-0.8199,0.087,0.837,0.075
2004-11-02,0.9357139999999999,0.965714,0.9357139999999999,0.955357,729988000.0,-0.998,0.167,0.753,0.08
2004-11-03,0.970893,1.0019639999999999,0.9641069999999999,0.9876790000000001,1204173600.0,-0.8301,0.125,0.758,0.117
2004-11-04,0.9826790000000001,0.991964,0.970893,0.9723209999999999,928625600.0,-0.9881,0.107,0.834,0.058
2004-11-05,0.979643,0.982143,0.9292860000000001,0.977143,1205047200.0,0.3769,0.09,0.825,0.086
2004-11-08,0.9691069999999999,0.9901790000000001,0.961786,0.9710709999999999,526920800.0,-0.7184,0.101,0.796,0.103
2004-11-09,0.9683930000000001,0.974107,0.9532139999999999,0.9651790000000001,475764800.0,-0.7732,0.092,0.821,0.087
2004-11-10,0.963393,0.989107,0.9626790000000001,0.9776790000000001,508676000.0,0.9402,0.059,0.858,0.082
2004-11-11,0.98125,0.989821,0.9683930000000001,0.9875,407299200.0,-0.9964,0.164,0.745,0.091
2004-11-12,0.9823209999999999,0.9944639999999999,0.9792860000000001,0.9910709999999999,395701600.0,-0.9953,0.177,0.748,0.076
2004-11-15,0.985714,0.9903569999999999,0.970357,0.9864290000000001,376045600.0,-0.997,0.162,0.784,0.054
2004-11-16,0.985,0.985714,0.972857,0.9810709999999999,295103200.0,-0.9921,0.134,0.8,0.066
2004-11-17,0.9855360000000001,0.9901790000000001,0.9682139999999999,0.9803569999999999,397751200.0,-0.9908,0.154,0.739,0.107
2004-11-18,0.969643,0.9901790000000001,0.969464,0.989107,459149600.0,-0.7142,0.114,0.777,0.109
2004-11-19,0.990893,1.01625,0.9732139999999999,0.9851790000000001,765279200.0,-0.8553,0.078,0.856,0.066
2004-11-22,1.1035709999999999,1.142857,1.033929,1.095536,2568210400.0,-0.9008,0.083,0.844,0.073
2004-11-23,1.1125,1.1151790000000001,1.090179,1.094107,911450400.0,-0.9615,0.098,0.838,0.064
2004-11-24,1.101607,1.1642860000000002,1.099107,1.14375,1390788000.0,-0.9841,0.109,0.821,0.07
2004-11-26,1.166964,1.1742860000000002,1.148929,1.152679,550144000.0,0.3595,0.079,0.839,0.082
2004-11-29,1.23125,1.242321,1.20375,1.222143,1712916800.0,0.6182,0.101,0.79,0.109
2004-11-30,1.228393,1.228393,1.1973209999999999,1.1973209999999999,1028518400.0,0.8423,0.084,0.819,0.097
2004-12-01,1.210536,1.213393,1.1833930000000001,1.210536,800553600.0,-0.7717,0.089,0.851,0.06
2004-12-02,1.180893,1.1946430000000001,1.154643,1.164464,987442400.0,0.4997,0.075,0.838,0.087
2004-12-03,1.152321,1.160714,1.1026790000000002,1.119286,1238848800.0,-0.9806,0.107,0.832,0.061
2004-12-06,1.1473209999999998,1.182857,1.124107,1.174643,1247920800.0,-0.8824,0.092,0.827,0.081
2004-12-07,1.1773209999999998,1.1916069999999999,1.117143,1.1230360000000001,1056899200.0,-0.8848,0.077,0.861,0.061
2004-12-08,1.1264290000000001,1.150536,1.108036,1.13,691902400.0,-0.9629,0.141,0.749,0.11
2004-12-09,1.121607,1.15,1.108393,1.142679,741501600.0,-0.9656,0.117,0.812,0.071
2004-12-10,1.16125,1.1794639999999998,1.155357,1.1633930000000001,775773600.0,-0.4308,0.102,0.782,0.116
2004-12-13,1.171786,1.176786,1.153571,1.1591069999999999,395040800.0,-0.9308,0.121,0.777,0.103
2004-12-14,1.167857,1.1764290000000002,1.161071,1.165893,415721600.0,-0.9956,0.149,0.799,0.052
2004-12-15,1.165,1.168929,1.154643,1.165357,398361600.0,-0.9908,0.144,0.755,0.101
2004-12-16,1.18125,1.205357,1.1794639999999998,1.189286,1126115200.0,-0.9753,0.13,0.77,0.101
2004-12-17,1.193571,1.197143,1.158929,1.160536,783496000.0,-0.9974,0.159,0.77,0.072
2004-12-20,1.169107,1.1785709999999998,1.102857,1.12,1168126400.0,-0.9979,0.16,0.786,0.054
2004-12-21,1.135,1.13875,1.1,1.1373209999999998,1064414400.0,-0.9922,0.153,0.75,0.097
2004-12-22,1.136786,1.149286,1.1321430000000001,1.138393,565829600.0,-0.9398,0.124,0.766,0.11
2004-12-23,1.138393,1.1473209999999998,1.135714,1.1430360000000002,245929600.0,-0.9878,0.113,0.818,0.069
2004-12-27,1.157143,1.1633930000000001,1.122857,1.1278569999999999,559490400.0,-0.9953,0.152,0.75,0.098
2004-12-28,1.130357,1.1473209999999998,1.108036,1.1460709999999998,611755200.0,-0.9902,0.164,0.71,0.126
2004-12-29,1.139464,1.1603569999999999,1.1351790000000002,1.150714,449562400.0,0.2783,0.091,0.826,0.083
2004-12-30,1.1573209999999998,1.16125,1.146786,1.157143,345340800.0,-0.9944,0.146,0.768,0.086
2004-12-31,1.15875,1.160714,1.143393,1.15,278588800.0,-0.9832,0.13,0.78,0.09
2005-01-03,1.156786,1.162679,1.1178569999999999,1.130179,691992000.0,-0.9731,0.114,0.802,0.084
2005-01-04,1.1391069999999999,1.169107,1.124464,1.141786,1096810400.0,-0.8284,0.064,0.878,0.059
2005-01-05,1.151071,1.1651790000000002,1.14375,1.151786,680433600.0,-0.9757,0.11,0.805,0.085
2005-01-06,1.1548209999999999,1.1591069999999999,1.130893,1.152679,705555200.0,0.9417,0.073,0.825,0.102
2005-01-07,1.160714,1.243393,1.15625,1.236607,2227450400.0,-0.9721,0.093,0.83,0.077
2005-01-10,1.246964,1.2625,1.212143,1.231429,1725309600.0,0.9673,0.067,0.823,0.11
2005-01-11,1.21875,1.234821,1.145357,1.152857,2611627200.0,-0.9771,0.119,0.778,0.102
2005-01-12,1.16875,1.176786,1.130357,1.168929,1919702400.0,-0.9548,0.107,0.805,0.088
2005-01-13,1.31625,1.328929,1.245179,1.246429,3164716800.0,-0.5013,0.098,0.8,0.101
2005-01-14,1.254464,1.280714,1.235536,1.253571,1770742400.0,0.781,0.054,0.882,0.064
2005-01-18,1.247321,1.2625,1.2098209999999998,1.261607,1006460000.0,-0.999,0.174,0.766,0.06
2005-01-19,1.25875,1.276071,1.245536,1.247857,751895200.0,-0.7498,0.083,0.844,0.073
